onset	duration	trial_type	value	sample
5.958	0.0	rsfi	5	5958
12.97	0.0	rsrs	6	12970
13.97	0.0	rsfi	5	13970
20.971	0.0	rsrs	6	20971
21.97	0.0	rsfi	5	21970
28.97	0.0	rsrs	6	28970
29.97	0.0	rsfi	5	29970
36.971	0.0	rsrs	6	36971
37.97	0.0	rsfi	5	37970
44.97	0.0	rsrs	6	44970
45.971	0.0	rsfi	5	45971
52.969	0.0	rsrs	6	52969
53.969	0.0	rsfi	5	53969
60.968	0.0	rsrs	6	60968
61.969	0.0	rsfi	5	61969
68.967	0.0	rsrs	6	68967
69.972	0.0	rsfi	5	69972
76.969	0.0	rsrs	6	76969
77.97	0.0	rsfi	5	77970
84.97	0.0	rsrs	6	84970
85.969	0.0	rsfi	5	85969
92.967	0.0	rsrs	6	92967
93.97	0.0	rsfi	5	93970
100.967	0.0	rsrs	6	100967
101.969	0.0	rsfi	5	101969
108.969	0.0	rsrs	6	108969
109.971	0.0	rsfi	5	109971
116.97	0.0	rsrs	6	116970
117.97	0.0	rsfi	5	117970
124.968	0.0	rsrs	6	124968
125.971	0.0	rsfi	5	125971
132.966	0.0	rsrs	6	132966
133.971	0.0	rsfi	5	133971
140.967	0.0	rsrs	6	140967
141.967	0.0	rsfi	5	141967
148.969	0.0	rsrs	6	148969
149.969	0.0	rsfi	5	149969
156.966	0.0	rsrs	6	156966
157.968	0.0	rsfi	5	157968
164.967	0.0	rsrs	6	164967
165.97	0.0	rsfi	5	165970
172.967	0.0	rsrs	6	172967
173.969	0.0	rsfi	5	173969
180.966	0.0	rsrs	6	180966
181.966	0.0	rsfi	5	181966
188.967	0.0	rsrs	6	188967
189.97	0.0	rsfi	5	189970
196.966	0.0	rsrs	6	196966
197.966	0.0	rsfi	5	197966
204.966	0.0	rsrs	6	204966
205.967	0.0	rsfi	5	205967
212.967	0.0	rsrs	6	212967
213.969	0.0	rsfi	5	213969
220.966	0.0	rsrs	6	220966
221.965	0.0	rsfi	5	221965
228.965	0.0	rsrs	6	228965
